日期,1点,2点,3点,4点,5点,6点,7点,8点,9点,10点,11点,12点,13点,14点,15点,16点,17点,18点,19点,20点,21点,22点,23点,24点
20200101,0.02396451744,0.05259508028,0.08076435042,0.14195146437999998,0.16606304626,0.28529072759999996,0.4208389002,0.4235974591999999,0.5116842106,0.4988501,0.4457877404,0.49666665899999995,0.38358542659999995,0.3407248652,0.3436179762,0.28102612,0.35241963860000003,0.3868327828,0.3861589394,0.37343608959999997,0.49847842360000005,0.59867096,0.43378948559999997,0.40324317120000003
20200102,0.4339976922,0.439869276,0.30487807079999996,0.34999286739999996,0.4757082222,0.5131802515999999,0.5443729352000001,0.5533159109999999,0.5463480709999999,0.5967637176,0.6228924874,0.6480775665999999,0.5986390282,0.5006939104,0.5418903602,0.4549857692,0.49567892119999996,0.34887405,0.3975568958,0.3608466722,0.46001573340000007,0.41908564779999996,0.41283109219999997,0.33756286879999997
20200103,0.30947553819999996,0.18707184884,0.1809471124,0.21792053919999996,0.1865431873,0.26010973079999994,0.19768321077999998,0.28160393840000003,0.38060506679999995,0.38451057639999997,0.3373608976,0.2547360714,0.28241081760000003,0.18533151666,0.2242061382,0.2279176806,0.17488141189999998,0.17255907681999996,0.21551913279999996,0.11226593675999999,0.18002516407999997,0.19118912661999998,0.21495964520000002,0.15650875764
20200104,0.16923375578,0.12179381828000001,0.05815569132000001,0.12437217001999999,0.16852772376,0.20661120299999997,0.20728501000000002,0.2363588412,0.11259421914,0.048007775040000006,0.0,0.0,0.013344684982000001,0.02431974676,0.0,0.0149590439,0.0,0.0,0.0,0.002984525468,0.0,0.0,0.022829463159999997,0.0
20200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019257164865999998,0.018736491382
20200108,0.0,0.0,0.0,0.011282586348,0.007681901327999998,0.000502546068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007088159654000001,0.0,0.010757009544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200110,0.0,0.0,0.020788181819999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011646065955999998,0.0,0.0,0.06319185888,0.009038614273999998,0.0746259264,0.08080581512,0.11369649133999998,0.2591081222,0.3484294262,0.291216666
20200111,0.2131758734,0.205879487,0.19064808588,0.13907605546000001,0.12850755392,0.16730666546,0.10580569312,0.13322242264,0.12491452026,0.04375439226,0.09731983728,0.012670978152,0.0015400958762,0.0,0.06536208906,0.1165470002,0.3317943974,0.47278007699999997,0.3785307782,0.3829162428,0.36983921239999995,0.4697596396,0.472409967,0.4424900534
20200112,0.35237154879999993,0.3551607358,0.399438168,0.3159244242,0.47850734000000006,0.5035559712,0.5511199355999999,0.6911259678,0.7193352316,0.6890796376,0.6587342504,0.6929447132000001,0.6045541782,0.6777597672,0.7540749308,0.8396533792,0.6835231861999999,0.6873241662,0.8063698803999999,0.8258693176,0.8518607118,0.95,0.9365249273999999,0.7528228148
20200113,0.7480131018,0.6332305772,0.7229067154,0.8038277266,0.8744969208000001,0.7845252697999999,0.7231428169999999,0.6999322494,0.7295316728,0.6915614315999999,0.6567165888000001,0.49232995339999996,0.3979945572,0.39947063780000003,0.4109611154,0.4554747846,0.4587991772,0.5623532356,0.6049027894,0.8061774693999999,0.72577291,0.7113472311999999,0.5993533374,0.5567723196
